time,x,y,z,abs avg
0.010,0.205,-0.037,0.965,0.402333
0.010,0.212,-0.041,0.962,0.405
0.010,0.208,-0.040,0.971,0.406333
0.011,0.206,-0.042,0.965,0.404333
0.011,0.206,-0.034,0.954,0.398
0.017,0.207,-0.038,0.979,0.408
0.018,0.209,-0.030,0.968,0.402333
0.018,0.216,-0.030,0.966,0.404
0.020,0.213,-0.026,0.964,0.401
0.023,0.212,-0.021,0.961,0.398
0.024,0.212,-0.020,0.965,0.399
0.030,0.209,-0.022,0.964,0.398333
0.030,0.215,-0.013,0.956,0.394667
0.032,0.214,-0.011,0.957,0.394
0.035,0.212,-0.013,0.953,0.392667
0.037,0.215,-0.013,0.955,0.394333
0.040,0.212,-0.014,0.957,0.394333
0.041,0.212,-0.015,0.956,0.394333
0.047,0.217,-0.010,0.953,0.393333
0.047,0.215,-0.016,0.960,0.397
0.049,0.211,-0.019,0.958,0.396
0.052,0.211,-0.019,0.958,0.396
0.054,0.212,-0.022,0.961,0.398333
0.057,0.210,-0.027,0.959,0.398667
0.059,0.206,-0.033,0.964,0.401
0.062,0.208,-0.035,0.964,0.402333
0.064,0.211,-0.033,0.965,0.403
0.067,0.205,-0.038,0.969,0.404
0.069,0.195,-0.025,0.983,0.401
0.071,0.235,-0.061,0.917,0.404333
0.074,0.190,-0.034,1.001,0.408333
0.076,0.221,-0.051,0.941,0.404333
0.079,0.192,-0.051,0.989,0.410667
0.081,0.214,-0.048,0.957,0.406333
0.084,0.215,-0.048,0.952,0.405
0.086,0.203,-0.045,0.978,0.408667
0.088,0.215,-0.042,0.950,0.402333
0.091,0.209,-0.042,0.970,0.407
0.094,0.210,-0.045,0.971,0.408667
0.102,0.215,-0.042,0.960,0.405667
0.102,0.210,-0.041,0.964,0.405
0.102,0.208,-0.044,0.972,0.408
0.103,0.213,-0.041,0.953,0.402333
0.106,0.207,-0.039,0.974,0.406667
0.108,0.209,-0.030,0.960,0.399667
0.112,0.211,-0.032,0.953,0.398667
0.115,0.206,-0.027,0.964,0.399
0.116,0.216,-0.030,0.959,0.401667
0.118,0.210,-0.030,0.959,0.399667
0.121,0.206,-0.026,0.970,0.400667
0.123,0.213,-0.031,0.960,0.401333
0.126,0.206,-0.034,0.968,0.402667
0.130,0.206,-0.033,0.967,0.402
0.130,0.207,-0.034,0.962,0.401
0.133,0.205,-0.035,0.966,0.402
0.136,0.208,-0.026,0.960,0.398
0.137,0.205,-0.020,0.960,0.395
0.140,0.208,-0.024,0.961,0.397667
0.143,0.213,-0.032,0.953,0.399333
0.146,0.205,-0.031,0.965,0.400333
0.148,0.209,-0.031,0.961,0.400333
0.150,0.210,-0.028,0.957,0.398333
0.153,0.213,-0.036,0.964,0.404333
0.155,0.205,-0.029,0.964,0.399333
0.158,0.207,-0.032,0.964,0.401
0.160,0.206,-0.034,0.968,0.402667
0.163,0.204,-0.031,0.959,0.398
0.165,0.200,-0.027,0.971,0.399333
0.168,0.197,-0.032,0.970,0.399667
0.170,0.205,-0.033,0.959,0.399
0.172,0.201,-0.033,0.966,0.4
0.175,0.198,-0.034,0.967,0.399667
0.180,0.205,-0.028,0.956,0.396333
0.180,0.204,-0.029,0.962,0.398333
0.182,0.202,-0.032,0.962,0.398667
0.192,0.207,-0.028,0.957,0.397333
0.192,0.208,-0.028,0.966,0.400667
0.192,0.212,-0.031,0.966,0.403
0.192,0.212,-0.031,0.957,0.4
0.204,0.214,-0.030,0.959,0.401
0.204,0.215,-0.029,0.958,0.400667
0.205,0.212,-0.028,0.954,0.398
0.205,0.209,-0.030,0.960,0.399667
0.205,0.208,-0.029,0.963,0.4
0.207,0.213,-0.028,0.965,0.402
0.209,0.211,-0.030,0.967,0.402667
0.211,0.208,-0.033,0.959,0.4
0.214,0.212,-0.030,0.960,0.400667
0.216,0.207,-0.035,0.964,0.402
0.219,0.209,-0.033,0.962,0.401333
0.222,0.208,-0.033,0.968,0.403
0.223,0.208,-0.033,0.965,0.402
0.227,0.206,-0.036,0.965,0.402333
0.229,0.205,-0.034,0.964,0.401
0.231,0.207,-0.032,0.969,0.402667
0.233,0.204,-0.030,0.969,0.401
0.235,0.202,-0.032,0.967,0.400333
0.239,0.207,-0.032,0.964,0.401
0.242,0.209,-0.028,0.960,0.399
0.243,0.208,-0.030,0.965,0.401
0.246,0.210,-0.029,0.964,0.401
0.248,0.212,-0.029,0.968,0.403
0.251,0.211,-0.028,0.963,0.400667
0.254,0.213,-0.026,0.966,0.401667
0.256,0.215,-0.029,0.965,0.403
0.258,0.211,-0.025,0.963,0.399667
0.261,0.213,-0.021,0.963,0.399
0.263,0.211,-0.020,0.961,0.397333
0.266,0.215,-0.026,0.959,0.4
0.268,0.211,-0.022,0.959,0.397333
0.271,0.208,-0.023,0.964,0.398333
0.273,0.209,-0.024,0.962,0.398333
0.275,0.209,-0.020,0.964,0.397667
0.279,0.210,-0.022,0.960,0.397333
0.280,0.209,-0.024,0.964,0.399
0.283,0.208,-0.019,0.962,0.396333
0.286,0.210,-0.026,0.958,0.398
0.288,0.212,-0.027,0.957,0.398667
0.291,0.210,-0.023,0.958,0.397
0.293,0.213,-0.024,0.959,0.398667
0.302,0.214,-0.025,0.955,0.398
0.302,0.212,-0.027,0.962,0.400333
0.302,0.217,-0.027,0.954,0.399333
0.303,0.216,-0.031,0.956,0.401
0.305,0.216,-0.038,0.960,0.404667
0.307,0.217,-0.033,0.956,0.402
0.309,0.220,-0.035,0.954,0.403
0.312,0.220,-0.035,0.957,0.404
0.314,0.217,-0.035,0.965,0.405667
0.318,0.218,-0.034,0.962,0.404667
0.320,0.221,-0.036,0.960,0.405667
0.322,0.222,-0.035,0.954,0.403667
0.325,0.221,-0.030,0.964,0.405
0.331,0.227,-0.027,0.965,0.406333
0.333,0.228,-0.030,0.959,0.405667
0.334,0.224,-0.034,0.964,0.407333
0.336,0.227,-0.032,0.964,0.407667
0.337,0.228,-0.036,0.958,0.407333
0.339,0.227,-0.036,0.957,0.406667
0.342,0.228,-0.038,0.963,0.409667
0.346,0.230,-0.034,0.964,0.409333
0.347,0.225,-0.031,0.964,0.406667
0.349,0.224,-0.031,0.962,0.405667
0.352,0.223,-0.033,0.961,0.405667
0.354,0.221,-0.037,0.962,0.406667
0.356,0.219,-0.039,0.965,0.407667
0.358,0.217,-0.043,0.971,0.410333
0.362,0.223,-0.042,0.963,0.409333
0.364,0.219,-0.050,0.969,0.412667
0.366,0.215,-0.050,0.970,0.411667
0.369,0.215,-0.051,0.965,0.410333
0.371,0.216,-0.054,0.968,0.412667
0.373,0.211,-0.053,0.967,0.410333
0.379,0.215,-0.062,0.963,0.413333
0.379,0.216,-0.062,0.960,0.412667
0.381,0.213,-0.060,0.958,0.410333
0.383,0.215,-0.062,0.957,0.411333
0.386,0.217,-0.061,0.958,0.412
0.388,0.213,-0.063,0.952,0.409333
0.391,0.210,-0.062,0.950,0.407333
0.404,0.209,-0.061,0.949,0.406333
0.405,0.209,-0.063,0.951,0.407667
0.405,0.210,-0.064,0.945,0.406333
0.406,0.212,-0.065,0.950,0.409
0.406,0.210,-0.064,0.956,0.41
0.406,0.211,-0.058,0.954,0.407667
0.408,0.213,-0.061,0.959,0.411
0.411,0.213,-0.062,0.963,0.412667
0.416,0.210,-0.067,0.960,0.412333
0.416,0.209,-0.066,0.967,0.414
0.418,0.209,-0.069,0.970,0.416
0.421,0.209,-0.068,0.964,0.413667
0.423,0.208,-0.067,0.966,0.413667
0.426,0.211,-0.067,0.962,0.413333
0.429,0.213,-0.069,0.962,0.414667
0.446,0.209,-0.068,0.962,0.413
0.447,0.214,-0.071,0.967,0.417333
0.447,0.208,-0.072,0.965,0.415
0.447,0.207,-0.077,0.960,0.414667
0.448,0.212,-0.078,0.959,0.416333
0.448,0.212,-0.078,0.961,0.417
0.448,0.210,-0.077,0.959,0.415333
0.448,0.217,-0.079,0.960,0.418667
0.452,0.215,-0.081,0.961,0.419
0.452,0.210,-0.078,0.959,0.415667
0.454,0.214,-0.083,0.961,0.419333
0.457,0.215,-0.080,0.959,0.418
0.462,0.210,-0.076,0.970,0.418667
0.462,0.220,-0.077,0.979,0.425333
0.465,0.223,-0.064,0.961,0.416
0.467,0.223,-0.064,0.970,0.419
0.469,0.216,-0.059,0.972,0.415667
0.472,0.221,-0.054,0.976,0.417
0.475,0.216,-0.050,0.978,0.414667
0.477,0.233,-0.062,0.960,0.418333
0.479,0.225,-0.063,0.968,0.418667
0.482,0.219,-0.066,0.979,0.421333
0.485,0.230,-0.070,0.966,0.422
0.488,0.226,-0.076,0.965,0.422333
0.490,0.225,-0.076,0.967,0.422667
0.492,0.218,-0.074,0.968,0.42
0.496,0.220,-0.079,0.969,0.422667
0.497,0.220,-0.079,0.964,0.421
0.499,0.218,-0.080,0.964,0.420667
0.501,0.215,-0.080,0.961,0.418667
0.504,0.219,-0.088,0.959,0.422
0.506,0.214,-0.088,0.957,0.419667
0.508,0.214,-0.092,0.958,0.421333
0.511,0.215,-0.098,0.954,0.422333
0.514,0.211,-0.099,0.958,0.422667
0.516,0.207,-0.101,0.964,0.424
0.519,0.211,-0.103,0.951,0.421667
0.521,0.204,-0.100,0.952,0.418667
0.524,0.204,-0.103,0.955,0.420667
0.527,0.214,-0.117,0.946,0.425667
0.529,0.211,-0.146,0.951,0.436
0.531,0.187,-0.109,0.960,0.418667
0.534,0.208,-0.120,0.958,0.428667
0.536,0.198,-0.111,0.955,0.421333
0.539,0.197,-0.110,0.961,0.422667
0.542,0.204,-0.106,0.943,0.417667
0.545,0.194,-0.108,0.962,0.421333
0.546,0.200,-0.109,0.966,0.425
0.548,0.209,-0.113,0.951,0.424333
0.550,0.205,-0.115,0.972,0.430667
0.553,0.204,-0.123,0.966,0.431
0.555,0.200,-0.135,0.965,0.433333
0.558,0.198,-0.132,0.976,0.435333
0.561,0.212,-0.112,0.949,0.424333
0.562,0.207,-0.108,0.957,0.424
0.566,0.201,-0.112,0.973,0.428667
0.568,0.208,-0.111,0.962,0.427
0.570,0.210,-0.105,0.947,0.420667
0.573,0.212,-0.110,0.965,0.429
0.575,0.209,-0.114,0.957,0.426667
0.578,0.214,-0.134,0.953,0.433667
0.581,0.194,-0.114,0.965,0.424333
0.582,0.206,-0.115,0.967,0.429333
0.586,0.209,-0.115,0.962,0.428667
0.588,0.201,-0.117,0.979,0.432333
0.590,0.215,-0.120,0.965,0.433333
0.606,0.205,-0.119,0.970,0.431333
0.607,0.206,-0.131,0.984,0.440333
0.607,0.225,-0.143,0.964,0.444
0.607,0.204,-0.127,0.966,0.432333
0.607,0.207,-0.140,0.967,0.438
0.607,0.228,-0.160,0.969,0.452333
0.608,0.214,-0.127,0.959,0.433333
0.612,0.215,-0.119,0.963,0.432333
0.612,0.222,-0.120,0.952,0.431333
0.617,0.224,-0.126,0.960,0.436667
0.617,0.221,-0.116,0.945,0.427333
0.620,0.222,-0.127,0.950,0.433
0.622,0.230,-0.122,0.950,0.434
0.625,0.219,-0.119,0.947,0.428333
0.629,0.206,-0.107,0.965,0.426
0.630,0.227,-0.108,0.951,0.428667
0.632,0.216,-0.101,0.957,0.424667
0.635,0.209,-0.097,0.959,0.421667
0.636,0.222,-0.091,0.948,0.420333
0.639,0.212,-0.090,0.960,0.420667
0.642,0.206,-0.079,0.964,0.416333
0.652,0.218,-0.078,0.950,0.415333
0.653,0.207,-0.064,0.961,0.410667
0.653,0.217,-0.065,0.951,0.411
0.653,0.211,-0.062,0.953,0.408667
0.654,0.211,-0.056,0.955,0.407333
0.656,0.225,-0.073,0.952,0.416667
0.662,0.217,-0.069,0.974,0.42
0.662,0.218,-0.061,0.959,0.412667
0.665,0.208,-0.045,0.972,0.408333
0.666,0.215,-0.036,0.959,0.403333
0.669,0.216,-0.032,0.975,0.407667
0.671,0.211,-0.032,0.986,0.409667
0.673,0.218,-0.017,0.964,0.399667
0.691,0.211,-0.013,0.980,0.401333
0.692,0.212,-0.000,0.974,0.395333
0.692,0.215,-0.006,0.972,0.397667
0.693,0.203,-0.008,0.971,0.394
0.693,0.204,-0.006,0.980,0.396667
0.693,0.202,0.008,0.957,0.389
0.694,0.191,0.001,0.975,0.389
0.704,0.196,0.002,0.962,0.386667
0.704,0.199,0.006,0.962,0.389
0.705,0.189,0.017,0.962,0.389333
0.705,0.192,0.024,0.955,0.390333
0.705,0.192,0.026,0.944,0.387333
0.705,0.186,0.022,0.948,0.385333
0.709,0.188,0.025,0.947,0.386667
0.719,0.190,0.025,0.946,0.387
0.720,0.188,0.032,0.949,0.389667
0.720,0.186,0.035,0.934,0.385
0.720,0.191,0.034,0.945,0.39
0.720,0.192,0.031,0.950,0.391
0.723,0.197,0.035,0.938,0.39
0.726,0.194,0.033,0.947,0.391333
0.729,0.200,0.034,0.944,0.392667
0.730,0.207,0.029,0.939,0.391667
0.736,0.200,0.023,0.952,0.391667
0.736,0.204,0.020,0.948,0.390667
0.738,0.206,0.016,0.949,0.390333
0.741,0.205,0.018,0.960,0.394333
0.743,0.207,0.015,0.961,0.394333
0.745,0.206,0.011,0.967,0.394667
0.748,0.209,0.010,0.971,0.396667
0.750,0.212,0.017,0.966,0.398333
0.752,0.212,0.018,0.970,0.4
0.755,0.211,0.022,0.975,0.402667
0.757,0.217,0.024,0.970,0.403667
0.760,0.215,0.021,0.972,0.402667
0.761,0.215,0.019,0.975,0.403
0.764,0.209,0.018,0.979,0.402
0.766,0.211,0.020,0.982,0.404333
0.769,0.215,0.019,0.980,0.404667
0.771,0.214,0.018,0.970,0.400667
0.774,0.215,0.017,0.969,0.400333
0.777,0.216,0.018,0.969,0.401
0.779,0.216,0.025,0.961,0.400667
0.782,0.214,0.022,0.964,0.4
0.784,0.213,0.020,0.960,0.397667
0.787,0.209,0.021,0.952,0.394
0.789,0.210,0.016,0.952,0.392667
0.800,0.211,0.013,0.949,0.391
0.800,0.207,0.013,0.948,0.389333
0.800,0.206,0.015,0.947,0.389333
0.800,0.206,0.015,0.941,0.387333
0.801,0.204,0.025,0.942,0.390333
0.804,0.207,0.031,0.941,0.393
0.806,0.207,0.036,0.947,0.396667
0.810,0.203,0.040,0.950,0.397667
0.811,0.199,0.046,0.946,0.397
