time,x,y,z,0
0.010,0.205,-0.037,0.965,1.207
0.010,0.212,-0.041,0.962,0.014
0.010,0.208,-0.040,0.971,0.014
0.011,0.206,-0.042,0.965,0.01
0.011,0.206,-0.034,0.954,0.019
0.017,0.207,-0.038,0.979,0.03
0.018,0.209,-0.030,0.968,0.021
0.018,0.216,-0.030,0.966,0.009
0.020,0.213,-0.026,0.964,0.009
0.023,0.212,-0.021,0.961,0.009
0.024,0.212,-0.020,0.965,0.005
0.030,0.209,-0.022,0.964,0.006
0.030,0.215,-0.013,0.956,0.023
0.032,0.214,-0.011,0.957,0.004
0.035,0.212,-0.013,0.953,0.008
0.037,0.215,-0.013,0.955,0.005
0.040,0.212,-0.014,0.957,0.006
0.041,0.212,-0.015,0.956,0.002
0.047,0.217,-0.010,0.953,0.013
0.047,0.215,-0.016,0.960,0.015
0.049,0.211,-0.019,0.958,0.009
0.052,0.211,-0.019,0.958,0
0.054,0.212,-0.022,0.961,0.007
0.057,0.210,-0.027,0.959,0.009
0.059,0.206,-0.033,0.964,0.015
0.062,0.208,-0.035,0.964,0.004
0.064,0.211,-0.033,0.965,0.006
0.067,0.205,-0.038,0.969,0.015
0.069,0.195,-0.025,0.983,0.037
0.071,0.235,-0.061,0.917,0.142
0.074,0.190,-0.034,1.001,0.156
0.076,0.221,-0.051,0.941,0.108
0.079,0.192,-0.051,0.989,0.077
0.081,0.214,-0.048,0.957,0.057
0.084,0.215,-0.048,0.952,0.006
0.086,0.203,-0.045,0.978,0.041
0.088,0.215,-0.042,0.950,0.043
0.091,0.209,-0.042,0.970,0.026
0.094,0.210,-0.045,0.971,0.005
0.102,0.215,-0.042,0.960,0.019
0.102,0.210,-0.041,0.964,0.01
0.102,0.208,-0.044,0.972,0.013
0.103,0.213,-0.041,0.953,0.027
0.106,0.207,-0.039,0.974,0.029
0.108,0.209,-0.030,0.960,0.025
0.112,0.211,-0.032,0.953,0.011
0.115,0.206,-0.027,0.964,0.021
0.116,0.216,-0.030,0.959,0.018
0.118,0.210,-0.030,0.959,0.006
0.121,0.206,-0.026,0.970,0.019
0.123,0.213,-0.031,0.960,0.022
0.126,0.206,-0.034,0.968,0.018
0.130,0.206,-0.033,0.967,0.002
0.130,0.207,-0.034,0.962,0.007
0.133,0.205,-0.035,0.966,0.007
0.136,0.208,-0.026,0.960,0.018
0.137,0.205,-0.020,0.960,0.009
0.140,0.208,-0.024,0.961,0.008
0.143,0.213,-0.032,0.953,0.021
0.146,0.205,-0.031,0.965,0.021
0.148,0.209,-0.031,0.961,0.008
0.150,0.210,-0.028,0.957,0.008
0.153,0.213,-0.036,0.964,0.018
0.155,0.205,-0.029,0.964,0.015
0.158,0.207,-0.032,0.964,0.005
0.160,0.206,-0.034,0.968,0.007
0.163,0.204,-0.031,0.959,0.014
0.165,0.200,-0.027,0.971,0.02
0.168,0.197,-0.032,0.970,0.009
0.170,0.205,-0.033,0.959,0.02
0.172,0.201,-0.033,0.966,0.011
0.175,0.198,-0.034,0.967,0.005
0.180,0.205,-0.028,0.956,0.024
0.180,0.204,-0.029,0.962,0.008
0.182,0.202,-0.032,0.962,0.005
0.192,0.207,-0.028,0.957,0.014
0.192,0.208,-0.028,0.966,0.01
0.192,0.212,-0.031,0.966,0.007
0.192,0.212,-0.031,0.957,0.009
0.204,0.214,-0.030,0.959,0.005
0.204,0.215,-0.029,0.958,0.003
0.205,0.212,-0.028,0.954,0.008
0.205,0.209,-0.030,0.960,0.011
0.205,0.208,-0.029,0.963,0.005
0.207,0.213,-0.028,0.965,0.008
0.209,0.211,-0.030,0.967,0.006
0.211,0.208,-0.033,0.959,0.014
0.214,0.212,-0.030,0.960,0.008
0.216,0.207,-0.035,0.964,0.014
0.219,0.209,-0.033,0.962,0.006
0.222,0.208,-0.033,0.968,0.007
0.223,0.208,-0.033,0.965,0.003
0.227,0.206,-0.036,0.965,0.005
0.229,0.205,-0.034,0.964,0.004
0.231,0.207,-0.032,0.969,0.009
0.233,0.204,-0.030,0.969,0.005
0.235,0.202,-0.032,0.967,0.006
0.239,0.207,-0.032,0.964,0.008
0.242,0.209,-0.028,0.960,0.01
0.243,0.208,-0.030,0.965,0.008
0.246,0.210,-0.029,0.964,0.004
0.248,0.212,-0.029,0.968,0.006
0.251,0.211,-0.028,0.963,0.007
0.254,0.213,-0.026,0.966,0.007
0.256,0.215,-0.029,0.965,0.006
0.258,0.211,-0.025,0.963,0.01
0.261,0.213,-0.021,0.963,0.006
0.263,0.211,-0.020,0.961,0.005
0.266,0.215,-0.026,0.959,0.012
0.268,0.211,-0.022,0.959,0.008
0.271,0.208,-0.023,0.964,0.009
0.273,0.209,-0.024,0.962,0.004
0.275,0.209,-0.020,0.964,0.006
0.279,0.210,-0.022,0.960,0.007
0.280,0.209,-0.024,0.964,0.007
0.283,0.208,-0.019,0.962,0.008
0.286,0.210,-0.026,0.958,0.013
0.288,0.212,-0.027,0.957,0.004
0.291,0.210,-0.023,0.958,0.007
0.293,0.213,-0.024,0.959,0.005
0.302,0.214,-0.025,0.955,0.006
0.302,0.212,-0.027,0.962,0.011
0.302,0.217,-0.027,0.954,0.013
0.303,0.216,-0.031,0.956,0.007
0.305,0.216,-0.038,0.960,0.011
0.307,0.217,-0.033,0.956,0.01
0.309,0.220,-0.035,0.954,0.007
0.312,0.220,-0.035,0.957,0.003
0.314,0.217,-0.035,0.965,0.011
0.318,0.218,-0.034,0.962,0.005
0.320,0.221,-0.036,0.960,0.007
0.322,0.222,-0.035,0.954,0.008
0.325,0.221,-0.030,0.964,0.016
0.331,0.227,-0.027,0.965,0.01
0.333,0.228,-0.030,0.959,0.01
0.334,0.224,-0.034,0.964,0.013
0.336,0.227,-0.032,0.964,0.005
0.337,0.228,-0.036,0.958,0.011
0.339,0.227,-0.036,0.957,0.002
0.342,0.228,-0.038,0.963,0.009
0.346,0.230,-0.034,0.964,0.007
0.347,0.225,-0.031,0.964,0.008
0.349,0.224,-0.031,0.962,0.003
0.352,0.223,-0.033,0.961,0.004
0.354,0.221,-0.037,0.962,0.007
0.356,0.219,-0.039,0.965,0.007
0.358,0.217,-0.043,0.971,0.012
0.362,0.223,-0.042,0.963,0.015
0.364,0.219,-0.050,0.969,0.018
0.366,0.215,-0.050,0.970,0.005
0.369,0.215,-0.051,0.965,0.006
0.371,0.216,-0.054,0.968,0.007
0.373,0.211,-0.053,0.967,0.007
0.379,0.215,-0.062,0.963,0.017
0.379,0.216,-0.062,0.960,0.004
0.381,0.213,-0.060,0.958,0.007
0.383,0.215,-0.062,0.957,0.005
0.386,0.217,-0.061,0.958,0.004
0.388,0.213,-0.063,0.952,0.012
0.391,0.210,-0.062,0.950,0.006
0.404,0.209,-0.061,0.949,0.003
0.405,0.209,-0.063,0.951,0.004
0.405,0.210,-0.064,0.945,0.008
0.406,0.212,-0.065,0.950,0.008
0.406,0.210,-0.064,0.956,0.009
0.406,0.211,-0.058,0.954,0.009
0.408,0.213,-0.061,0.959,0.01
0.411,0.213,-0.062,0.963,0.005
0.416,0.210,-0.067,0.960,0.011
0.416,0.209,-0.066,0.967,0.009
0.418,0.209,-0.069,0.970,0.006
0.421,0.209,-0.068,0.964,0.007
0.423,0.208,-0.067,0.966,0.004
0.426,0.211,-0.067,0.962,0.007
0.429,0.213,-0.069,0.962,0.004
0.446,0.209,-0.068,0.962,0.005
0.447,0.214,-0.071,0.967,0.013
0.447,0.208,-0.072,0.965,0.009
0.447,0.207,-0.077,0.960,0.011
0.448,0.212,-0.078,0.959,0.007
0.448,0.212,-0.078,0.961,0.002
0.448,0.210,-0.077,0.959,0.005
0.448,0.217,-0.079,0.960,0.01
0.452,0.215,-0.081,0.961,0.005
0.452,0.210,-0.078,0.959,0.01
0.454,0.214,-0.083,0.961,0.011
0.457,0.215,-0.080,0.959,0.006
0.462,0.210,-0.076,0.970,0.02
0.462,0.220,-0.077,0.979,0.02
0.465,0.223,-0.064,0.961,0.034
0.467,0.223,-0.064,0.970,0.009
0.469,0.216,-0.059,0.972,0.014
0.472,0.221,-0.054,0.976,0.014
0.475,0.216,-0.050,0.978,0.011
0.477,0.233,-0.062,0.960,0.047
0.479,0.225,-0.063,0.968,0.017
0.482,0.219,-0.066,0.979,0.02
0.485,0.230,-0.070,0.966,0.028
0.488,0.226,-0.076,0.965,0.011
0.490,0.225,-0.076,0.967,0.003
0.492,0.218,-0.074,0.968,0.01
0.496,0.220,-0.079,0.969,0.008
0.497,0.220,-0.079,0.964,0.005
0.499,0.218,-0.080,0.964,0.003
0.501,0.215,-0.080,0.961,0.006
0.504,0.219,-0.088,0.959,0.014
0.506,0.214,-0.088,0.957,0.007
0.508,0.214,-0.092,0.958,0.005
0.511,0.215,-0.098,0.954,0.011
0.514,0.211,-0.099,0.958,0.009
0.516,0.207,-0.101,0.964,0.012
0.519,0.211,-0.103,0.951,0.019
0.521,0.204,-0.100,0.952,0.011
0.524,0.204,-0.103,0.955,0.006
0.527,0.214,-0.117,0.946,0.033
0.529,0.211,-0.146,0.951,0.037
0.531,0.187,-0.109,0.960,0.07
0.534,0.208,-0.120,0.958,0.034
0.536,0.198,-0.111,0.955,0.022
0.539,0.197,-0.110,0.961,0.008
0.542,0.204,-0.106,0.943,0.029
0.545,0.194,-0.108,0.962,0.031
0.546,0.200,-0.109,0.966,0.011
0.548,0.209,-0.113,0.951,0.028
0.550,0.205,-0.115,0.972,0.027
0.553,0.204,-0.123,0.966,0.015
0.555,0.200,-0.135,0.965,0.017
0.558,0.198,-0.132,0.976,0.016
0.561,0.212,-0.112,0.949,0.061
0.562,0.207,-0.108,0.957,0.017
0.566,0.201,-0.112,0.973,0.026
0.568,0.208,-0.111,0.962,0.019
0.570,0.210,-0.105,0.947,0.023
0.573,0.212,-0.110,0.965,0.025
0.575,0.209,-0.114,0.957,0.015
0.578,0.214,-0.134,0.953,0.029
0.581,0.194,-0.114,0.965,0.052
0.582,0.206,-0.115,0.967,0.015
0.586,0.209,-0.115,0.962,0.008
0.588,0.201,-0.117,0.979,0.027
0.590,0.215,-0.120,0.965,0.031
0.606,0.205,-0.119,0.970,0.016
0.607,0.206,-0.131,0.984,0.027
0.607,0.225,-0.143,0.964,0.051
0.607,0.204,-0.127,0.966,0.039
0.607,0.207,-0.140,0.967,0.017
0.607,0.228,-0.160,0.969,0.043
0.608,0.214,-0.127,0.959,0.057
0.612,0.215,-0.119,0.963,0.013
0.612,0.222,-0.120,0.952,0.019
0.617,0.224,-0.126,0.960,0.016
0.617,0.221,-0.116,0.945,0.028
0.620,0.222,-0.127,0.950,0.017
0.622,0.230,-0.122,0.950,0.013
0.625,0.219,-0.119,0.947,0.017
0.629,0.206,-0.107,0.965,0.043
0.630,0.227,-0.108,0.951,0.036
0.632,0.216,-0.101,0.957,0.024
0.635,0.209,-0.097,0.959,0.013
0.636,0.222,-0.091,0.948,0.03
0.639,0.212,-0.090,0.960,0.023
0.642,0.206,-0.079,0.964,0.021
0.652,0.218,-0.078,0.950,0.027
0.653,0.207,-0.064,0.961,0.036
0.653,0.217,-0.065,0.951,0.021
0.653,0.211,-0.062,0.953,0.011
0.654,0.211,-0.056,0.955,0.008
0.656,0.225,-0.073,0.952,0.034
0.662,0.217,-0.069,0.974,0.034
0.662,0.218,-0.061,0.959,0.024
0.665,0.208,-0.045,0.972,0.039
0.666,0.215,-0.036,0.959,0.029
0.669,0.216,-0.032,0.975,0.021
0.671,0.211,-0.032,0.986,0.016
0.673,0.218,-0.017,0.964,0.044
0.691,0.211,-0.013,0.980,0.027
0.692,0.212,-0.000,0.974,0.02
0.692,0.215,-0.006,0.972,0.011
0.693,0.203,-0.008,0.971,0.015
0.693,0.204,-0.006,0.980,0.012
0.693,0.202,0.008,0.957,0.039
0.694,0.191,0.001,0.975,0.036
0.704,0.196,0.002,0.962,0.019
0.704,0.199,0.006,0.962,0.007
0.705,0.189,0.017,0.962,0.021
0.705,0.192,0.024,0.955,0.017
0.705,0.192,0.026,0.944,0.013
0.705,0.186,0.022,0.948,0.014
0.709,0.188,0.025,0.947,0.006
0.719,0.190,0.025,0.946,0.003
0.720,0.188,0.032,0.949,0.012
0.720,0.186,0.035,0.934,0.02
0.720,0.191,0.034,0.945,0.017
0.720,0.192,0.031,0.950,0.009
0.723,0.197,0.035,0.938,0.021
0.726,0.194,0.033,0.947,0.014
0.729,0.200,0.034,0.944,0.01
0.730,0.207,0.029,0.939,0.017
0.736,0.200,0.023,0.952,0.026
0.736,0.204,0.020,0.948,0.011
0.738,0.206,0.016,0.949,0.007
0.741,0.205,0.018,0.960,0.014
0.743,0.207,0.015,0.961,0.006
0.745,0.206,0.011,0.967,0.011
0.748,0.209,0.010,0.971,0.008
0.750,0.212,0.017,0.966,0.015
0.752,0.212,0.018,0.970,0.005
0.755,0.211,0.022,0.975,0.01
0.757,0.217,0.024,0.970,0.013
0.760,0.215,0.021,0.972,0.007
0.761,0.215,0.019,0.975,0.005
0.764,0.209,0.018,0.979,0.011
0.766,0.211,0.020,0.982,0.007
0.769,0.215,0.019,0.980,0.007
0.771,0.214,0.018,0.970,0.012
