time,x,y,z,gforce
0.003,0.217,-0.100,0.957,0.987
0.004,0.218,-0.094,0.954,0.983
0.005,0.218,-0.093,0.957,0.986
0.008,0.221,-0.086,0.964,0.992
0.010,0.224,-0.088,0.961,0.991
0.013,0.214,-0.087,0.962,0.990
0.016,0.216,-0.086,0.964,0.992
0.018,0.219,-0.088,0.961,0.990
0.020,0.216,-0.094,0.964,0.992
0.023,0.223,-0.094,0.958,0.988
0.025,0.219,-0.094,0.958,0.987
0.028,0.215,-0.097,0.965,0.994
0.030,0.219,-0.090,0.958,0.987
0.033,0.215,-0.089,0.965,0.993
0.035,0.218,-0.088,0.961,0.990
0.037,0.219,-0.082,0.954,0.983
0.040,0.212,-0.082,0.963,0.989
0.042,0.213,-0.089,0.955,0.983
0.045,0.210,-0.084,0.953,0.980
0.047,0.210,-0.090,0.960,0.987
0.050,0.211,-0.093,0.955,0.983
0.052,0.207,-0.093,0.957,0.983
0.057,0.210,-0.094,0.953,0.981
0.058,0.213,-0.096,0.953,0.981
0.060,0.210,-0.096,0.955,0.983
0.064,0.211,-0.091,0.956,0.983
0.070,0.212,-0.092,0.953,0.981
0.070,0.212,-0.092,0.956,0.984
0.071,0.211,-0.093,0.961,0.988
0.073,0.214,-0.094,0.962,0.990
0.076,0.214,-0.098,0.956,0.984
0.078,0.210,-0.097,0.956,0.984
0.080,0.212,-0.096,0.961,0.989
0.085,0.207,-0.096,0.959,0.986
0.093,0.210,-0.095,0.962,0.989
0.093,0.211,-0.093,0.957,0.984
0.093,0.211,-0.091,0.959,0.987
0.094,0.206,-0.094,0.963,0.989
0.096,0.208,-0.092,0.963,0.989
0.097,0.207,-0.089,0.960,0.986
0.102,0.212,-0.096,0.963,0.990
0.103,0.210,-0.096,0.959,0.987
0.104,0.208,-0.093,0.962,0.989
0.107,0.207,-0.090,0.958,0.985
0.110,0.204,-0.091,0.957,0.983
0.112,0.204,-0.091,0.954,0.980
0.114,0.205,-0.087,0.959,0.984
0.126,0.207,-0.089,0.955,0.982
0.127,0.204,-0.088,0.951,0.977
0.127,0.207,-0.087,0.958,0.984
0.127,0.207,-0.091,0.955,0.981
0.128,0.204,-0.090,0.956,0.982
